Hour	 Total_subsurface_storage	 Total_surface_storage	 Total_surface_runoff	 ET	
2030	 2503870314.0603786	 722.0961088625558	 1110.7436294556787	 0	
2031	 2510708118.68377	 730.397798887895	 1126.4624642016704	 0	
2032	 2516220326.259571	 732.2083607943964	 1127.0922935056133	 0	
2033	 2520805119.0032864	 729.934617376751	 1121.9674989940038	 0	
2034	 2517471293.008454	 725.3527737785641	 1113.1912216038384	 0	
2035	 2510695204.814389	 714.818094507788	 1093.9611676760735	 0	
2036	 2505155512.3820734	 702.7378058648289	 1071.8783611481344	 0	
2037	 2500427269.7217784	 690.3921935761003	 1049.8230597637591	 0	
2038	 2496265854.16405	 684.1527620920776	 1037.8802038333902	 0	
2039	 2492519871.257162	 680.2850705728151	 1030.3325817471764	 0	
2040	 2489089296.0341496	 678.2492898027601	 1026.3095137760813	 0	
2041	 2485923185.071237	 678.8594465986858	 1027.1834221362217	 0	
2042	 2482972150.8334928	 680.3688010813278	 1029.9470109797887	 0	
2043	 2480199768.8803554	 682.6755872822865	 1034.2483038038024	 0	
2044	 2477581261.8392873	 683.9739801190489	 1036.8359069478308	 0	
2045	 2516141837.694045	 833.0223697154812	 1316.5068577394802	 0	
2046	 2510976316.7370987	 722.5086290355334	 1120.8245563746882	 0	
2047	 2507963499.428801	 694.5622632096537	 1059.8497799154286	 0	
2048	 2538494647.0355363	 696.6703273629506	 1047.8500942013316	 0	
2049	 2528479288.693084	 782.6033731237845	 1217.507676795053	 0	
2050	 2524163176.3789454	 796.7304903784924	 1256.569014216347	 0	
2051	 2521767736.8089046	 732.4411554204858	 1135.7824180827397	 0	
2052	 2524774437.374702	 738.841517568432	 1137.379299432211	 0	
2053	 2528287559.309083	 784.6950655765183	 1221.1394340487032	 0	
2054	 2575022616.344455	 868.9750079611222	 1397.200504808998	 0	
2055	 2570515825.3489466	 790.5289773843007	 1243.4202388082413	 0	
2056	 2570394456.4278216	 770.7992075520852	 1200.2384889998868	 0	
2057	 2575061460.610986	 775.2587348546143	 1203.4324584812673	 0	
2058	 2578623547.677319	 868.1009622598849	 1396.488359879061	 0	
2059	 2581757852.8398967	 791.4353007375548	 1250.0297987350166	 0	
2060	 2585353117.428295	 772.4702076242434	 1203.9270266582544	 0	
2061	 2589034408.169957	 768.0731521875911	 1192.23514894618	 0	
2062	 2591903300.870519	 763.1174437893999	 1182.1641549918488	 0	
2063	 2594296856.7358093	 754.8836145135366	 1169.7230907428343	 0	
2064	 2588375270.922429	 746.7738876163908	 1156.317043048621	 0	
2065	 2579021416.9647536	 743.430943123061	 1151.5768928558812	 0	
2066	 2571461275.1525073	 696.0479924442574	 1064.9195525833186	 0	
2067	 2565544220.1487947	 683.9146499112478	 1037.8195161751357	 0	
2068	 2566228997.924458	 703.7565423692935	 1070.5991740625057	 0	
2069	 2582780568.380008	 780.5465553705822	 1209.364965159205	 0	
2070	 2587928916.5265083	 770.7596230154135	 1198.7304824014714	 0	
2071	 2580367822.3815827	 713.978495319565	 1096.7973751452212	 0	
2072	 2579315917.1252637	 716.7578443106851	 1094.90591567764	 0	
2073	 2579092917.250077	 719.7806612379258	 1099.7207163828837	 0	
2074	 2589426106.6213374	 765.0899195354173	 1180.9252169346312	 0	
2075	 2580571586.2854123	 703.4819171989232	 1077.7040555241922	 0	
2076	 2588017627.335337	 744.9952900640972	 1143.2743742750395	 0	
2077	 2583912382.7741113	 708.4304290900882	 1083.2769238623628	 0	
2078	 2593273170.45327	 745.1206607302222	 1143.5697633601555	 0	
2079	 2594994639.0235286	 726.9785874984909	 1115.139281385127	 0	
2080	 2593431376.9268975	 711.9044339849403	 1087.3503313267624	 0	
2081	 2599021761.373795	 712.6989480290457	 1086.9203441537452	 0	
2082	 2592578448.2736573	 682.5445797944773	 1035.9758127121024	 0	
2083	 2584488650.9412513	 674.7087440618486	 1019.1606155296661	 0	
2084	 2577740762.910334	 673.2897596558266	 1015.604230258179	 0	
2085	 2572078070.113766	 673.0151733241252	 1014.943600281368	 0	
2086	 2567179046.5399	 673.2709218149105	 1015.3834939202186	 0	
2087	 2562634982.201829	 673.7529477426974	 1016.2608916677239	 0	
2088	 2558483691.563741	 674.3917241450982	 1017.4250996114926	 0	
2089	 2554656395.514286	 675.0083135792324	 1018.5606620676074	 0	
2090	 2551086701.042252	 675.5895850130572	 1019.6297658681971	 0	
2091	 2547744626.736128	 676.2155266625473	 1020.7734721168038	 0	
2092	 2544555401.3210597	 676.4363103200064	 1021.2057777568568	 0	
2093	 2541511010.600655	 676.5461071988271	 1021.3987753572605	 0	
2094	 2538599814.2503233	 676.5984377873899	 1021.475726428759	 0	
2095	 2535818444.677111	 676.9022983973031	 1021.9931113122029	 0	
2096	 2533173937.329796	 677.5278340932642	 1023.1103114723791	 0	
2097	 2530615567.768172	 677.7703836317925	 1023.5890440153693	 0	
2098	 2528136967.465178	 677.8489729871407	 1023.7393888559292	 0	
2099	 2525733017.7690578	 677.8775960942804	 1023.7802013372159	 0	
2100	 2523398655.4243565	 677.8924871484712	 1023.7915006458696	 0	
2101	 2521137941.4659133	 677.9050228313668	 1023.797030995616	 0	
2102	 2518787102.4944763	 677.4655338123329	 1023.0021661094692	 0	
2103	 2516397497.3561254	 675.7560268167306	 1019.9136028796689	 0	
2104	 2514184573.8341002	 675.3795750922039	 1019.0430582891618	 0	
2105	 2512083938.627326	 675.5527821044042	 1019.2821524030521	 0	
2106	 2510097130.8022246	 676.4052806883119	 1020.7983178861236	 0	
2107	 2508137714.100228	 676.4867835220404	 1021.0318808987054	 0	
2108	 2506225539.021551	 676.4458042696582	 1020.9690009929901	 0	
2109	 2504362434.3282638	 676.4228882966571	 1020.9165028887502	 0	
2110	 2502536608.3305335	 676.7716343289185	 1021.5235745624135	 0	
2111	 2500732870.7653484	 676.7660127479517	 1021.5466176385756	 0	
2112	 2498939491.8441677	 676.3738806712056	 1020.851827754101	 0	
2113	 2497186031.243313	 676.3298526485936	 1020.728082383483	 0	
2114	 2495471000.0727744	 676.3738304021042	 1020.7962450920998	 0	
2115	 2493789737.4355907	 676.4112050629958	 1020.8675511229156	 0	
2116	 2492132183.408569	 676.2745508322727	 1020.6322787002949	 0	
2117	 2490496995.756496	 676.0849916151157	 1020.2850461803587	 0	
2118	 2488884484.9652667	 675.8810590731001	 1019.906019803939	 0	
2119	 2487287952.051237	 675.8124118860395	 1019.7653220059469	 0	
2120	 2485719270.224218	 675.791746226713	 1019.7253525772164	 0	
2121	 2484173213.0091553	 675.7632349844398	 1019.678987617853	 0	
2122	 2482521271.4010015	 675.0472335078429	 1018.4193659245149	 0	
2123	 2480793469.959399	 673.9283928024951	 1016.3772015398697	 0	
2124	 2478964878.0982738	 672.4617569718321	 1013.6791855690217	 0	
2125	 2477409187.5953875	 672.456816983957	 1013.5134660092522	 0	
2126	 2475944559.721123	 673.0094119433622	 1014.4859588003404	 0	
2127	 2474538961.033432	 673.9315290723872	 1016.1849314989782	 0	
2128	 2473160136.40773	 674.3202947918151	 1016.989319557522	 0	
2129	 2471804507.353579	 674.4920004789955	 1017.3544597707747	 0	
2130	 2470472654.595635	 674.5959642776111	 1017.5748120099599	 0	
2131	 2469121840.455287	 674.1279762796934	 1016.7799271965215	 0	
2132	 2467752706.667279	 673.8176852707192	 1016.1990598271866	 0	
2133	 2466364915.406827	 673.3508480332554	 1015.348671237059	 0	
2134	 2464995258.444333	 673.1825961332461	 1015.0093755099931	 0	
2135	 2463643069.9288282	 673.0942512934396	 1014.8434788801344	 0	
2136	 2462434890.042657	 673.0148160158668	 1014.7055943534733	 0	
2137	 2461130125.3696527	 672.511477627777	 1013.8248214916175	 0	
2138	 2459776645.646925	 671.8775958792946	 1012.6699926878337	 0	
2139	 2458403599.58572	 671.1893781108428	 1011.4038576071044	 0	
2140	 2457038109.3371215	 670.6901226462984	 1010.4644959104392	 0	
2141	 2455675062.915898	 670.2423581680216	 1009.6374580715819	 0	
2142	 2454319404.2552595	 669.833221648173	 1008.886886086437	 0	
2143	 2453001747.148469	 669.825057777193	 1008.842586575007	 0	
2144	 2451716623.2301173	 669.9418380725288	 1009.0601271387958	 0	
2145	 2450458768.3339505	 670.0870761697886	 1009.3442582781053	 0	
2146	 2449103184.638345	 669.3203796543276	 1008.0380001000723	 0	
2147	 2447867814.0746865	 668.1779461132734	 1005.9810069576678	 0	
2148	 2446640939.7638783	 667.8363766679032	 1005.2746277703628	 0	
2149	 2460064673.9364543	 668.4245723587647	 1006.2521894554781	 0	
2150	 2478457622.7472606	 669.2588260654107	 1007.7513012870379	 0	
2151	 2514443727.442799	 691.8023373307202	 1048.0077513916615	 0	
2152	 2520276721.405591	 745.0491641389086	 1150.203569384064	 0	
2153	 2523923962.040888	 746.7447868331532	 1159.7443222396273	 0	
2154	 2524478810.674159	 738.1956150973241	 1143.7826411285157	 0	
2155	 2525447800.660966	 723.8438341259647	 1115.3569925024108	 0	
2156	 2525940884.7604957	 703.5325907894422	 1075.7111888356476	 0	
2157	 2525264534.290319	 693.4881274357273	 1054.8681402171826	 0	
2158	 2523849900.658449	 687.6326138566956	 1042.9971302563933	 0	
2159	 2521588976.398622	 675.8697656973997	 1021.3526214830364	 0	
2160	 2518398501.203739	 672.1868818081712	 1013.574520165105	 0	
2161	 2514709383.7943096	 671.7928074326691	 1012.4332455142053	 0	
2162	 2510676838.994467	 671.7117770377821	 1012.2756527940008	 0	
2163	 2507121851.1842136	 671.7788274257192	 1012.4299458551287	 0	
2164	 2503924200.9361067	 671.8858641363909	 1012.6564355036935	 0	
2165	 2501002082.4041057	 672.0096757033667	 1012.9069844694517	 0	
2166	 2498299172.256539	 672.1480419237175	 1013.1798526587755	 0	
2167	 2495755185.788429	 671.8833754222367	 1012.7439863915938	 0	
2168	 2493341464.5352983	 671.5073374375268	 1012.0783552188004	 0	
2169	 2491106136.240866	 671.0876441559232	 1011.3023333855141	 0	
2170	 2488823164.9673557	 670.1520048608328	 1009.6255685092185	 0	
2171	 2486690319.229514	 669.189416153253	 1007.8512654490236	 0	
2172	 2497896039.8293715	 668.736442936975	 1006.9459808499795	 0	
2173	 2510360621.500852	 669.6692923057082	 1008.5133778771897	 0	
2174	 2520688265.842026	 699.1761756391792	 1061.4178478547713	 0	
2175	 2528097472.0628114	 717.0592273064792	 1097.7954263385025	 0	
2176	 2521632130.027607	 688.9194221972654	 1048.434058753557	 0	
2177	 2516573014.9729967	 680.5128345120075	 1030.2193940443494	 0	
2178	 2512409268.8513465	 678.1408064242341	 1024.7303180965284	 0	
2179	 2508834717.10896	 677.3473932675181	 1023.0023051355671	 0	
2180	 2505676606.247928	 677.0321719481509	 1022.3867606607024	 0	
2181	 2502825335.40279	 676.7627546309122	 1021.9086190841975	 0	
2182	 2503527968.8236465	 673.5139872854901	 1016.1611747651057	 0	
2183	 2500536061.1136236	 671.7637910409034	 1012.743298511875	 0	
